Ticker,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,JNJ,JNJ,JNJ,JPM,JPM,JPM,META,META,META,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA
Price,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,225.15220642089844,226.83999633789062,38677300,177.0399932861328,177.0399932861328,29150100,155.96817016601562,164.1300048828125,7093400,210.45114135742188,218.30999755859375,7214000,524.9653930664062,528.0,11323900,411.97113037109375,416.7900085449219,18493800,129.30763244628906,129.3699951171875,323230300,220.32000732421875,220.32000732421875,81525200
2024-08-26,225.48965454101562,227.17999267578125,30602200,175.5,175.5,22366200,156.42428588867188,164.61000061035156,6870600,211.28016662597656,219.1699981689453,5105200,518.1248779296875,521.1199951171875,9584000,408.70928955078125,413.489990234375,13152800,126.39905548095703,126.45999908447266,331964700,213.2100067138672,213.2100067138672,59301200
2024-08-27,226.33331298828125,228.02999877929688,35934600,173.1199951171875,173.1199951171875,29842000,156.02212524414062,162.9499969482422,4388700,212.25379943847656,220.17999267578125,5185200,516.116455078125,519.0999755859375,6282700,409.0552673339844,413.8399963378906,13492900,128.23817443847656,128.3000030517578,303134600,209.2100067138672,209.2100067138672,62821400
2024-08-28,224.8048095703125,226.49000549316406,38052200,170.8000030517578,170.8000030517578,29045000,156.95091247558594,163.9199981689453,5187000,213.3238525390625,221.2899932861328,6506400,513.8098754882812,516.780029296875,9106100,405.85272216796875,410.6000061035156,14882700,125.54946899414062,125.61000061035156,448101100,205.75,205.75,64116400
2024-08-29,228.0802459716797,229.7899932861328,51906300,172.1199951171875,172.1199951171875,26407800,157.2477264404297,164.22999572753906,7390100,214.2107391357422,222.2100067138672,6416100,515.2415161132812,518.219970703125,8317400,408.34356689453125,413.1199951171875,17045200,117.5333251953125,117.58999633789062,453023300,206.27999877929688,206.27999877929688,62308800
2024-08-30,227.296142578125,229.0,52990800,178.5,178.5,43429400,158.80844116210938,165.86000061035156,7971000,216.70751953125,224.8000030517578,8574100,518.313720703125,521.3099975585938,9157500,412.3171081542969,417.1400146484375,24308300,119.31246948242188,119.37000274658203,333751600,214.11000061035156,214.11000061035156,63370600
2024-09-03,221.11248779296875,222.77000427246094,50190600,176.25,176.25,37817500,160.0531768798828,167.16000366210938,6956500,212.36947631835938,220.3000030517578,8956100,508.8186950683594,511.760009765625,12459100,404.7061462402344,409.44000244140625,20313600,107.94795989990234,108.0,477155100,210.60000610351562,210.60000610351562,76714200
2024-09-04,219.20677185058594,220.85000610351562,43840200,173.3300018310547,173.3300018310547,30309200,160.2446746826172,167.36000061035156,6939100,211.43441772460938,219.3300018310547,7389500,509.7929992675781,512.739990234375,8335200,404.17236328125,408.8999938964844,15135800,106.1588134765625,106.20999908447266,372470300,219.41000366210938,219.41000366210938,80651800
2024-09-05,220.7253875732422,222.3800048828125,36615400,177.88999938964844,177.88999938964844,40170500,157.9754180908203,164.99000549316406,4600400,209.7956085205078,217.6300048828125,8067900,513.8893432617188,516.8599853515625,8640900,403.6682434082031,408.3900146484375,14195500,107.15833282470703,107.20999908447266,306850700,230.1699981689453,230.1699981689453,119355000
2024-09-06,219.17697143554688,220.82000732421875,48423000,171.38999938964844,171.38999938964844,41466500,157.39137268066406,164.3800048828125,6016900,204.8117218017578,212.4600067138672,7777000,497.39471435546875,500.2699890136719,14744500,397.0556335449219,401.70001220703125,19609500,102.78044891357422,102.83000183105469,413638100,210.72999572753906,210.72999572753906,112177000
2024-09-09,219.26634216308594,220.91000366210938,67180000,175.39999389648438,175.39999389648438,29037400,159.5265655517578,166.61000061035156,7538200,209.00511169433594,216.80999755859375,8935100,501.88873291015625,504.7900085449219,11047800,401.0291442871094,405.7200012207031,15295100,106.41869354248047,106.47000122070312,273912000,216.27000427246094,216.27000427246094,67443500
2024-09-10,218.47227478027344,220.11000061035156,51591000,179.5500030517578,179.5500030517578,36233800,160.26380920410156,167.3800048828125,6559600,198.1601104736328,205.55999755859375,28406900,501.88873291015625,504.7900085449219,9899000,409.4111022949219,414.20001220703125,19594300,108.04788970947266,108.0999984741211,268283700,226.1699981689453,226.1699981689453,78891100
2024-09-11,221.00328063964844,222.66000366210938,44587100,184.52000427246094,184.52000427246094,42564700,157.81265258789062,164.82000732421875,5920200,199.76998901367188,207.22999572753906,13658700,508.88824462890625,511.8299865722656,10782500,418.14886474609375,423.0400085449219,19266900,116.85366821289062,116.91000366210938,441422400,228.1300048828125,228.1300048828125,83548600
